start,end,summary,description
2017-03-18 11:00:00,2017-03-18 17:00:00,Otevření rozhledny Obora,"V 11 hodin po dlouhé zimní pauze opět otevíráme rozhlednu. Více se dozvíte <a href=""index.php?option=com_content&view=article&id=10522:otevreni-rozhledny-obora&catid=186&lang=cs-CZ&Itemid=257"">ZDE</a>."
2017-03-19 10:00:00,2017-03-19 15:00:00,Setkání u hrabáčů,"Připojte se k oslavě Mezinárodního dne hrabáčů a dozvíte se zajímavosti z jejich života. Více se dozvíte <a href=""index.php?option=com_content&view=article&id=10523:setkani-u-hrabacu&catid=186&lang=cs-CZ&Itemid=257"">ZDE</a>."
2017-03-25 10:30:00,2017-03-25 17:00:00,Slavnostní zahájení 86. sezony Zoo Praha,Společně zahájíme novou hlavní sezonu v pražské zoo. Akce začíná v 11.00 u Vzdělávacího centra.
2017-04-01 00:00:00,2017-04-01 23:59:59,Pan Hroch na telefonu opět zasahuje ,Na speciální aprílovou linku mohou celý den telefonovat zájemci – odpověď na každou otázku hlavně o zvířatech.
2017-04-01 00:00:00,2017-04-01 23:59:59,Mezinárodní den ptactva,Vycházka za volavkami a kvakoši v zoo. Slavnostní odhalení panelu na téma kvakoši v zoo a jejich výzkum. Beseda o výzkumu volavek a kvakošů v Zoo Praha.
2017-04-08 00:00:00,2017-04-08 23:59:59,1. rok slůněte Maxe,Malý Max už není tak docela malý a slaví první narozeniny. Oslava v Údolí slonů.
2017-04-09 00:00:00,2017-04-09 23:59:59,Den chovatelů želv,Cyklus přednášek o želvách a chovatelská poradna po celý den.
2017-04-13 00:00:00,2017-04-13 23:59:59,Velikonoce v zoo a velikonoční prázdniny,Ukázky staročeských tradic spojených s jarem. Na velikonoční pondělí si zvířata při neobvyklých komentovaných krmeních pochutnají na pomlázkách.
2017-04-23 00:00:00,2017-04-23 23:59:59,Běh pro zoo,"Charitativní běh pořádaný studentským spolkem Univerzity Karlovy. Více informací naleznete <strong><a href=""aktualne/akce-v-zoo-praha/10467-beh-pro-zoo-praha-2"">po kliknutí ZDE</a></strong>."
2017-04-23 00:00:00,2017-04-23 23:59:59,Světový den Země (Earth Day),Připomenutí významného dne s upozorněním na ohrožené druhy zvířat a in-situ projekty Zoo Praha.
2017-04-23 00:00:00,2017-04-23 23:59:59,1. rok gorilího samečka Ajabu,V Pavilonu goril oslavíme narozeniny nejmladšího člena tlupy a předáme mu dárek.
2017-04-24 00:00:00,2017-04-24 23:59:59,Na svatého Jiří vylézají hadi a štíři,Vycházka vedená odborníkem bude věnovaná nejen hadům volně žijícím v zoo.
2017-04-24 00:00:00,2017-04-24 23:59:59,Happy Mondays,"Každé pondělí mají všechny děti od 3 do 15 let, důchodci a studenti vstup za 50 Kč. Držitelé průkazek ZTP, ZTP/P mají vstup za 1 Kč. (Vyjma svátků 17. dubna, 1. května, 8. května, července, srpna, 25. prosince 2017 a 1. ledna 2018). Více se dozvíte <strong><a href=""reklama-a-marketing/projekty/10385-happy-mondays-2017"" target=""_blank"">ZDE</a></strong>."
2017-04-29 00:00:00,2017-04-29 23:59:59,Workshop s umělci z Nigerie,Sochařské a výtvarné umění předvedou umělci z Afriky.
2017-05-08 00:00:00,2017-05-08 23:59:59,May Day,Školní třídy v zoo prezentují projekty na téma Pomáháme jim přežít a prodávají výrobky. Výtěžek jde na konto Pomáháme jim přežít.
2017-05-10 00:00:00,2017-05-10 23:59:59,Den ptačího tahu ,"Vycházka po zoo, pozorování ptáků a jejich určování podle hlasů, povídání o ptačích migracích."
2017-05-14 00:00:00,2017-05-14 23:59:59,Den rodin (15. 5.),"Den v zoo pro rodiny, připravte se na celodenní znalostní soutěž pro rodiny o zajímavé ceny."
2017-05-15 00:00:00,2017-05-15 23:59:59,Happy Mondays,"Každé pondělí mají všechny děti od 3 do 15 let, důchodci a studenti vstup za 50 Kč. Držitelé průkazek ZTP, ZTP/P mají vstup za 1 Kč. Více se dozvíte <strong><a href=""reklama-a-marketing/projekty/10385-happy-mondays-2017"" target=""_blank"">ZDE</a></strong>."
2017-05-21 00:00:00,2017-05-21 23:59:59,Vycházka s entomologem,"Procházka po zoo – určování hmyzu, ukázka smýkání nebo práce s určovacím klíčem."
2017-05-26 18:00:00,2017-05-26 19:30:00,Noc snů ,Tradiční večer plný nevšedních zážitků pro rodiny dětí s postižením.
2017-06-01 00:00:00,2017-06-01 23:59:59,Den dětí,"<span id=""_mce_caret"" data-mce-bogus=""true"">Den plný her a zábavy připravujeme tradičně ve spolupráci s Městskou policií hl. m. Prahy.</span>"
2017-06-03 00:00:00,2017-06-03 23:59:59,Takhle to vidím já… ,Youtubeři si vyzkouší práci průvodců v zoo. Jak si se zadaným úkolem poradí?
2017-06-05 00:00:00,2017-06-05 23:59:59,Den pro děti s babičkami a dědečky,"Speciální akce pro seniory s vnoučaty v dolní části zoo. Vláček pro seniory zdarma. Na začátku a konci trasy vláčku stánky s přírodninami, povídání o zvířatech."
2017-06-10 20:00:00,2017-06-10 22:00:00,Noc v zoo,V návaznosti na akci Muzejní noc organizujeme pro zájemce noční prohlídky po zoo.
2017-06-21 00:00:00,2017-06-21 23:59:59,Setkání s žirafami (Mezinárodní den žiraf),"Akce pořádaná v rámci Mezinárodního dne žiraf. Informační stánek u Afrického domu, povídání o žirafách a jejich ohrožení, ochraně."
2017-06-30 00:00:00,2017-06-30 23:59:59,Jedničkáři za korunu,Poslední školní den oslavíme v zoo komentovanými krmeními zvířat a vstupem pro děti s jedničkou z přírodovědy za 1 korunu.
2017-07-03 00:00:00,2017-07-03 23:59:59,Zooexpres,"Vypravte se s průvodcem na projížďku komentovaným vláčkem, kde zjistíte, jak se krmí supi, co milují gorily nebo kolik ryb spořádají tučňáci."
2017-07-05 10:00:00,2017-07-05 12:00:00,Vycházka s entomologem,Procházka po zoo pro zájemce o hmyz. Ukázky hmyzu v různých biotopech. Od 10 hodin.
2017-07-16 00:00:00,2017-07-16 23:59:59,Světový den hadů,Prezentace živých hadů a ukázky světových zástupců.
2017-07-22 00:00:00,2017-07-22 23:59:59,Den hmyzožravců ,"Ochutnejte hmyz na všechny způsoby a podívejte se, jak chutná hmyzožravcům v zoo."
2017-07-29 00:00:00,2017-07-29 23:59:59,Zachráníme tygry? ,Akce k Mezinárodnímu dni tygrů. Zaměření na ochranu ohrožených šelem.
2017-08-03 00:00:00,2017-08-03 23:59:59,Vycházka s entomologem ,Procházka po zoo pro zájemce o hmyz. Ukázky hmyzu v různých biotopech.
2017-08-04 20:00:00,2017-08-04 21:30:00,Večerní prohlídky po zoo,
2017-08-05 00:00:00,2017-08-05 23:59:59,Den plameňáků,"Setkání u plameňáků, informační stánek, celý den povídání o plameňácích."
2017-08-05 20:00:00,2017-08-05 21:00:00,Večerní prohlídky po zoo,
2017-08-07 00:00:00,2017-08-07 23:59:59,Zooexpres ,"Vypravte se s průvodcem na projížďku komentovaným vláčkem, který vás zaveze mezi zvířata Afriky, Evropy i Ameriky."
2017-08-12 00:00:00,2017-08-12 23:59:59,Mezinárodní den slonů a lvů ,"Spojili jsme dva mezinárodní dny v jeden velký den. U slonů proběhne akce Nejsilnější zvířata, při které se zaměříme na pracovní schopnosti slonů. Ukázky předmětů, které pro slony nejsou problémem zvednout."
2017-08-16 00:00:00,2017-08-16 23:59:59,Vycházka s herpetologem ,"Procházka po zoo za divoce žijícími plazy a obojživelníky, ukázky zvířat, jejich ochrany."
2017-08-19 00:00:00,2017-08-19 23:59:59,Výprava za orangutany – lesními muži ,Akce pořádaná v rámci Mezinárodního dne orangutanů.
2017-08-20 00:00:00,2017-08-20 23:59:59,1. narozeniny hrábáčice Nyoty,"Setkání u hrabáčů v Africkém domě. Komentované krmení. Informační stánek po celý den.<span id=""_mce_caret"" data-mce-bogus=""1""><strong data-mce-bogus=""1""></strong></span>"
2017-08-26 00:00:00,2017-08-26 23:59:59,Rozloučení s prázdninami aneb Zoo-youtuber-show,"Prázdniny končí, ale kariéru youtubera můžete začít i tak."
2017-09-01 20:00:00,2017-09-01 21:30:00,Večerní prohlídky po zoo,
2017-09-02 00:00:00,2017-09-02 23:59:59,Svátek supů a kondorů ,Akce pořádaná u příležitosti Mezinárodního dne supů. Komentované krmení několikrát během dne. Akce tradičně proběhne u voliér se supy.
2017-09-02 20:00:00,2017-09-02 21:30:00,Večerní prohlídky po zoo,
2017-09-04 00:00:00,2017-09-04 23:59:59,Začíná školka a škola,"Akce pro děti od předškolního věku po prvňáčky, kteří jdou poprvé do školky a do školy."
2017-09-04 00:00:00,2017-09-04 23:59:59,Happy Mondays,"Každé pondělí mají všechny děti od 3 do 15 let, důchodci a studenti vstup za 50 Kč. Držitelé průkazek ZTP, ZTP/P mají vstup za 1 Kč. (Vyjma svátků 17. dubna, 1. května, 8. května, července, srpna, 25. prosince 2017 a 1. ledna 2018).<span style=""color: #505050; font-family: Arial, Helvetica, sans-serif; font-size: 12.8px; text-align: justify;""></span>Více se dozvíte <strong><a href=""reklama-a-marketing/projekty/10385-happy-mondays-2017"" target=""_blank"">ZDE</a></strong>."
2017-09-09 00:00:00,2017-09-09 23:59:59,Kam létají kvakoši,"Informační stánek věnovaný ptačí migraci. Proč a kam táhnou ptáci, jak se orientují, metody výzkumu tahu, ukázky vědeckých metod výzkumu, kroužkování."
2017-09-23 00:00:00,2017-09-23 23:59:59,Den chovatelů želv,"Tradiční cyklus přednášek, chovatelská poradna."
2017-09-28 00:00:00,2017-09-28 23:59:59,Výroční slavnost 2017,Oslava 86. výročí založení Zoo Praha.
